,Name,Photo,Birds,Bees,Butterflies,Hedgehogs,Squirrels
30,Boerenhortensia-Hydrangea-macrophylla,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Boerenhortensia-Hydrangea-macrophylla-bloei-roze-.jpg']",,Ja,Ja,,
31,Boerenhortensia-Hydrangea-macrophylla-Nikko-Blue,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Boerenhortensia-Hydrangea-macrophylla-'Nikko-Blue'.jpg""]",Ja,Ja,Ja,Ja,
32,Boerenwormkruid-Tanacetum-vulgare,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210906_085600_1.jpg']",Ja,Ja,Ja,,
33,Boerenwormkruid-Tanacetum-vulgare-Crispum,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/20210906_085600.jpg']",Ja,Ja,Ja,,
34,Bolletjeskool-Crambe-cordifolia,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2443_src.jpg']",,Ja,Ja,,
35,Bolvormige-taxus-Taxus-media-Hillii,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Taxus-media-'Hillii'_1.jpg""]",Ja,,,,
36,Bonte-gele-Dovenetel-Lamiastrum-galeobdolon-Florentinum,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_153_src.jpg']",Ja,,,,
37,Bonte-hulst-Ilex-aquifolium-Argentea-Marginata,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/ae709bfd-4144-48ab-9825-d1c6bea69c5e.jpeg']",Ja,,,,
38,Boomlupine-Lupinus-arboreus-Golden-Spire,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_4028_src.jpg']",,Ja,Ja,,
39,Bosrank-Clematis-Niobe,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1040_src.jpg']",,Ja,Ja,,
40,Bosrank-Clematis-Vitalba,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Bosrank-Clematis-Vitalba.jpg']",Ja,Ja,Ja,,
